pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
752,2019,5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall - Remastered,[rock],0.38,0.90,0.04,0.00,0.19,0.47,174.30
753,2019,7DcvwMAiqKJQD1rrdfxSDx,Young Thug,The London (feat. J. Cole & Travis Scott),[hip hop],0.80,0.59,0.15,0.02,0.13,0.18,97.98
754,2019,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,Takeaway (feat. Lennon Stella),[Dance/Electronic],0.29,0.51,0.04,0.12,0.10,0.36,85.33
755,2019,6nDKrPlXdpomGBgAlO7UdP,Avicii,SOS,[Dance/Electronic],0.80,0.65,0.07,0.27,0.12,0.38,100.00
756,2019,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,all the good girls go to hell,[pop],0.73,0.44,0.37,0.28,0.18,0.57,185.04
757,2019,4n7jnSxVLd8QioibtTDBDq,Alan Walker,On My Way,[Dance/Electronic],0.51,0.69,0.10,0.02,0.30,0.30,170.09
758,2019,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,[pop],0.42,0.13,0.04,0.95,0.11,0.12,137.45
759,2019,5IaHrVsrferBYDm0bDyABy,Tyga,Taste (feat. Offset),[hip hop],0.88,0.56,0.12,0.02,0.10,0.34,97.99
760,2019,2G1tXoGBaEMJ7FKGnkf6ud,Gucci Mane,Wake Up in the Sky,[hip hop],0.80,0.58,0.05,0.00,0.37,0.37,143.01
761,2019,29fRTIKsJhLUJoldM89GZS,Taylor Swift,You Need To Calm Down,[pop],0.77,0.68,0.05,0.01,0.06,0.71,85.03
762,2019,6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay),[hip hop],0.77,0.64,0.47,0.15,0.07,0.26,168.11
763,2019,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,[pop],0.34,0.63,0.04,0.16,0.07,0.35,150.28
764,2019,2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,no tears left to cry,[pop],0.70,0.71,0.06,0.04,0.29,0.35,121.99
765,2019,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,[pop],0.36,0.54,0.09,0.49,0.12,0.45,68.53
766,2019,7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),[hip hop],0.50,0.80,0.05,0.09,0.15,0.27,139.92
767,2019,7fODjB7BrQTGqh0hogW6XD,Justin Quiles,Que Mas Pues - Remix,[latin],0.65,0.66,0.20,0.12,0.12,0.81,113.36
768,2019,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,[Dance/Electronic],0.62,0.64,0.03,0.05,0.16,0.45,103.02
769,2019,1LIqNVhaIgxXUt2eVoIQJ3,Maluma,HP,[latin],0.84,0.79,0.08,0.25,0.19,0.62,91.98
770,2019,3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,you should see me in a crown,[pop],0.68,0.53,0.19,0.46,0.14,0.32,150.46
771,2019,322tcqPhma7F6hfCeLisx0,Lauv,fuck  im lonely (with Anne-Marie) - from â€œ13 Reasons Why: Season 3â€,[pop],0.81,0.56,0.07,0.48,0.06,0.68,95.02
772,2019,6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,Hate Me (with Juice WRLD),[Dance/Electronic],0.66,0.77,0.05,0.11,0.14,0.76,75.03
773,2019,6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,[pop],0.67,0.58,0.07,0.23,0.18,0.19,92.04
774,2019,7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,[latin],0.80,0.72,0.30,0.30,0.06,0.57,101.09
775,2019,3oh6SCCeLuXhFpEyepla6G,Blueface,Thotiana,[hip hop],0.91,0.38,0.27,0.18,0.11,0.39,104.03
776,2019,6MJUCumnQsQEKbCy28tbCP,Daddy Yankee,Adictiva,[latin],0.79,0.77,0.06,0.29,0.17,0.70,99.04
777,2019,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,[pop],0.84,0.54,0.09,0.04,0.08,0.51,97.03
778,2019,79esEXlqqmq0GPz0xQSZTV,Shawn Mendes,Lost In Japan,[pop],0.71,0.74,0.37,0.26,0.11,0.43,105.03
779,2019,6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,Fantasias,[latin],0.88,0.70,0.07,0.14,0.06,0.79,94.00
780,2019,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,[hip hop],0.63,0.80,0.04,0.22,0.25,0.49,123.15
781,2019,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings,[hip hop],0.84,0.63,0.13,0.06,0.40,0.35,91.03
782,2019,0PG9fbaaHFHfre2gUVo7AN,Cardi B,Please Me,[pop],0.75,0.57,0.08,0.06,0.08,0.65,133.99
783,2019,1kK6DwzyXJSp58u5HYWwuD,YG,Go Loko (feat. Tyga  Jon Z),[hip hop],0.88,0.67,0.05,0.33,0.07,0.13,101.01
784,2019,4MsUsFfWseB9M2plGJyuIw,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),[pop],0.61,0.84,0.07,0.03,0.11,0.66,182.12
785,2019,7njKgVl3AnLflRad38o7AG,Bazzi,Paradise,[pop],0.84,0.64,0.05,0.08,0.11,0.59,122.06
786,2019,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,[hip hop],0.84,0.73,0.05,0.08,0.15,0.43,130.05
787,2019,05CwHjIk71RXVU40boRMnR,The Chainsmokers,Call You Mine,[Dance/Electronic],0.59,0.70,0.03,0.23,0.41,0.50,104.00
788,2019,3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,[latin],0.42,0.26,0.03,0.92,0.13,0.33,119.93
789,2019,3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,bad guy (with Justin Bieber),[pop],0.67,0.45,0.30,0.25,0.12,0.68,135.06
790,2019,2FY7b99s15jUprqC0M5NCT,Imagine Dragons,Natural,[modern rock  rock],0.70,0.61,0.04,0.22,0.08,0.22,100.00
791,2019,7anSoGdgtmJTAPZBzcPhO6,Dalex,Cuaderno,[latin],0.68,0.65,0.38,0.52,0.10,0.69,172.02
792,2019,7Feaw9WAEREY0DUOSXJLOM,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),[Dance/Electronic],0.66,0.72,0.06,0.18,0.14,0.32,113.78
793,2019,4a6q8CR2hzLk2plDkSxkfD,Bazzi,I.F.L.Y.,[pop],0.81,0.52,0.04,0.38,0.13,0.55,104.95
794,2019,1WSGTYKLEpKfNQYYW5Oymt,benny blanco,I Cant Get Enough (benny blanco  Selena Gomez  J Balvin  Tainy),[pop],0.54,0.47,0.36,0.40,0.36,0.69,95.27
795,2019,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,Love Someone,[pop],0.54,0.41,0.05,0.17,0.11,0.27,171.84
796,2019,5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,Si Se Da,[latin],0.83,0.71,0.33,0.37,0.09,0.70,93.98
797,2019,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,Sanguine Paradise,[hip hop],0.73,0.60,0.07,0.09,0.11,0.21,134.97
798,2019,4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,[hip hop],0.78,0.43,0.04,0.12,0.09,0.24,127.09
799,2019,51NFxnQvaosfDDutk0tams,Billie Eilish,bellyache,[pop],0.70,0.57,0.11,0.46,0.48,0.41,99.94
800,2019,0YammaEkYSeo9vQYZ1OwS6,David Guetta,Say My Name,[Dance/Electronic],0.70,0.66,0.12,0.14,0.19,0.79,95.03
801,2018,2XW4DbS6NddZxRPm5rMCeY,Drake,Gods Plan,[hip hop],0.76,0.45,0.10,0.03,0.56,0.37,77.18
802,2018,35ieKju5aLWFN5UgfJ27mL,XXXTENTACION,SAD!,[hip hop],0.74,0.61,0.15,0.26,0.12,0.47,75.02
803,2018,7wrDRQgHlvDnimrRHfQZxt,Post Malone,Psycho (feat. Ty Dolla $ign),[hip hop],0.75,0.55,0.11,0.59,0.11,0.41,140.01
804,2018,0bAkKNCQfWkexHFn7fIKns,Drake,In My Feelings,[hip hop],0.74,0.48,0.14,0.01,0.45,0.32,182.00
805,2018,7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,[hip hop],0.68,0.56,0.05,0.35,0.14,0.37,145.03
806,2018,58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,[hip hop],0.82,0.73,0.13,0.10,0.37,0.65,136.05
807,2018,7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),[Dance/Electronic],0.79,0.86,0.11,0.04,0.08,0.59,123.99
808,2018,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,[pop],0.84,0.54,0.09,0.04,0.08,0.51,97.03
809,2018,32iYwQ4OYiurnGnOfJ1aEh,Juice WRLD,Lucid Dreams,[hip hop],0.44,0.48,0.24,0.38,0.33,0.22,83.61
810,2018,08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,[Dance/Electronic],0.63,0.88,0.05,0.21,0.13,0.53,95.08
811,2018,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,Havana,[pop],0.77,0.52,0.03,0.19,0.10,0.42,104.99
812,2018,6FRLCMO5TUHTexlWo8ym1W,Maroon 5,Girls Like You (feat. Cardi B),[pop],0.85,0.54,0.05,0.57,0.13,0.45,124.96
813,2018,1cTZMwcBJT0Ka3UJPXOeeN,Drake,Nice For What,[hip hop],0.57,0.91,0.07,0.09,0.11,0.79,93.35
814,2018,09IStsImFySgyp0pIQdqAc,Zedd,The Middle,[Dance/Electronic],0.75,0.66,0.04,0.17,0.11,0.44,107.01
815,2018,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,no tears left to cry,[pop],0.70,0.70,0.05,0.04,0.27,0.37,121.97
816,2018,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,[hip hop],0.92,0.54,0.08,0.56,0.10,0.71,128.01
817,2018,4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,Look Alive (feat. Drake),[hip hop],0.92,0.58,0.27,0.00,0.11,0.60,140.02
818,2018,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,Te Boté - Remix,[latin],0.90,0.68,0.21,0.54,0.06,0.44,96.51
819,2018,55S2PQgSMYAhgoTCcGCDfw,5 Seconds of Summer,Youngblood,[pop],0.60,0.85,0.46,0.02,0.12,0.15,120.27
820,2018,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,[pop],0.83,0.65,0.08,0.58,0.09,0.93,95.98
821,2018,66kQ7wr4d2LwwSjr7HXcyr,Kendrick Lamar,All The Stars (with SZA),[hip hop],0.70,0.62,0.06,0.03,0.08,0.45,96.84
822,2018,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,[pop],0.76,0.70,0.07,0.00,0.15,0.61,116.07
823,2018,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,X,[latin],0.60,0.77,0.05,0.04,0.33,0.71,180.07
824,2018,5IaHrVsrferBYDm0bDyABy,Tyga,Taste (feat. Offset),[hip hop],0.88,0.56,0.12,0.02,0.10,0.34,97.99
825,2018,5CLGzJsGqhCEECcpnFQA8x,Rudimental,These Days (feat. Jess Glynne  Macklemore & Dan Caplen),[Dance/Electronic],0.65,0.81,0.05,0.19,0.17,0.55,92.21
826,2018,7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),[pop],0.64,0.78,0.09,0.05,0.08,0.58,154.08
827,2018,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,[pop],0.60,0.45,0.02,0.16,0.11,0.17,95.05
828,2018,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,[hip hop],0.87,0.39,0.24,0.47,0.30,0.44,134.02
829,2018,45Egmo7icyopuzJN0oMEdk,Khalid,Love Lies (with Normani),[pop],0.71,0.65,0.04,0.10,0.13,0.34,143.96
830,2018,6kPJZM97LwdG9QIsT7khp6,Clean Bandit,Solo (feat. Demi Lovato),[Dance/Electronic],0.74,0.64,0.04,0.04,0.35,0.57,105.01
831,2018,6tHWl8ows5JOZq9Yfaqn3M,Bazzi,Mine,[pop],0.72,0.81,0.09,0.01,0.29,0.72,142.89
832,2018,4w8niZpiMy6qz1mntFA5uM,DJ Snake,Taki Taki (with Selena Gomez  Ozuna & Cardi B),[Dance/Electronic],0.84,0.80,0.23,0.15,0.06,0.59,95.95
833,2018,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,[hip hop],0.83,0.73,0.22,0.01,0.12,0.45,155.01
834,2018,0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),[Dance/Electronic],0.56,0.68,0.32,0.56,0.12,0.32,89.39
835,2018,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,[hip hop],0.56,0.54,0.04,0.07,0.20,0.29,143.95
836,2018,2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,[Dance/Electronic],0.69,0.79,0.05,0.19,0.17,0.67,100.02
837,2018,0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),[hip hop],0.59,0.54,0.09,0.12,0.13,0.14,159.85
838,2018,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,[Dance/Electronic],0.69,0.77,0.15,0.18,0.12,0.16,125.91
839,2018,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,Thunder,[rock],0.60,0.81,0.05,0.01,0.16,0.30,167.88
840,2018,4kWO6O1BUXcZmaxitpVUwp,Tiësto,Jackie Chan,[Dance/Electronic],0.75,0.83,0.05,0.37,0.06,0.69,128.01
841,2018,4PANCoXZX3RaT2D6mqSdEU,XXXTENTACION,changes,[hip hop],0.69,0.32,0.03,0.88,0.10,0.49,129.80
842,2018,63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,[pop],0.59,0.69,0.20,0.16,0.42,0.08,99.98
843,2018,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,Believer,[rock],0.78,0.79,0.11,0.05,0.14,0.71,124.98
844,2018,2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,thank u  next,[pop],0.72,0.65,0.07,0.28,0.10,0.44,106.96
845,2018,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,[pop],0.70,0.38,0.05,0.65,0.17,0.53,91.92
846,2018,2Vx8E3K5icPZR7OCklWBXX,Drake,Nonstop,[hip hop],0.91,0.41,0.14,0.03,0.11,0.46,154.98
847,2018,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,Wolves,[pop],0.72,0.80,0.04,0.14,0.18,0.33,124.99
848,2018,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,Rise,[Dance/Electronic],0.69,0.78,0.03,0.32,0.20,0.67,106.07
849,2018,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO TOUR Llif3,[hip hop],0.73,0.75,0.23,0.00,0.11,0.40,155.10
850,2018,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,rockstar,[pop],0.58,0.52,0.10,0.13,0.14,0.12,159.77
851,2018,4Pbg79cTBu4vgSphoyNq3j,Anne-Marie,2002,[pop],0.70,0.68,0.12,0.04,0.14,0.60,96.13
852,2018,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,Échame La Culpa,[latin],0.72,0.90,0.04,0.03,0.10,0.64,96.02
853,2018,2E124GmJRnBJuXbTb4cPUB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),[hip hop],0.93,0.39,0.41,0.09,0.14,0.38,125.98
854,2018,2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama,[latin],0.79,0.75,0.05,0.35,0.10,0.82,94.01
855,2018,7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip (& Metro Boomin),[hip hop],0.88,0.43,0.21,0.15,0.11,0.33,100.01
856,2018,6jA8JUuPCGYjFcgw0AoM5T,Reik,Me Niego,[latin],0.78,0.78,0.10,0.05,0.64,0.77,94.02
857,2018,7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,God is a woman,[pop],0.60,0.67,0.05,0.03,0.19,0.29,144.97
858,2018,6VpQdig9pdpTSIFItgkJV5,Camila Cabello,Never Be the Same,[pop],0.64,0.71,0.07,0.15,0.12,0.26,129.96
859,2018,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,Vaina Loca,[latin],0.75,0.81,0.08,0.32,0.20,0.56,93.98
860,2018,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,Dura,[latin],0.79,0.85,0.05,0.17,0.41,0.82,95.01
861,2018,5N5k9nd479b1xpDZ4usjrg,Calvin Harris,Promises (with Sam Smith),[Dance/Electronic],0.78,0.77,0.04,0.01,0.33,0.49,123.07
862,2018,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,[R&B],0.49,0.60,0.04,0.22,0.35,0.17,134.05
863,2018,7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love (feat. Trippie Redd),[hip hop],0.80,0.53,0.04,0.02,0.10,0.33,131.04
864,2018,79jX8RM5CgPqDKdGEKNW9K,Shawn Mendes,In My Blood,[pop],0.63,0.72,0.05,0.05,0.12,0.43,139.99
865,2018,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,[hip hop],0.63,0.80,0.04,0.22,0.25,0.49,123.15
866,2018,116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA (feat. Drake),[latin],0.82,0.54,0.06,0.01,0.10,0.16,97.06
867,2018,5UEnHoDYpsxlfzWLZIc7LD,Eminem,River (feat. Ed Sheeran),[hip hop],0.76,0.75,0.47,0.17,0.08,0.69,90.05
868,2018,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,[pop],0.55,0.59,0.04,0.70,0.08,0.44,126.68
869,2018,10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday (feat. Chris Brown),[hip hop],0.76,0.60,0.22,0.15,0.11,0.76,133.12
870,2018,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,[hip hop],0.91,0.62,0.10,0.00,0.10,0.42,150.01
871,2018,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,Finesse (Remix) [feat. Cardi B],[pop],0.70,0.86,0.10,0.02,0.02,0.93,105.12
872,2018,7vGuf3Y35N4wmASOKLUVVU,Marshmello,Silence,[Dance/Electronic],0.52,0.76,0.09,0.26,0.17,0.29,141.97
873,2018,3hBBKuWJfxlIlnd9QFoC8k,Maroon 5,What Lovers Do (feat. SZA),[pop],0.80,0.62,0.07,0.08,0.09,0.39,110.01
874,2018,33IOhptvC2Qoy2UhjiHXLV,David Guetta,Flames,[Dance/Electronic],0.61,0.73,0.04,0.07,0.09,0.36,93.96
875,2018,6mrKP2jyIQmM0rw6fQryjr,NF,Let You Down,[hip hop],0.66,0.72,0.11,0.33,0.17,0.44,148.02
876,2018,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,I Like Me Better,[pop],0.75,0.51,0.25,0.54,0.10,0.42,91.97
877,2018,1wsf1YFQSYND45y0GzJmf7,Lil Baby,Yes Indeed,[hip hop],0.96,0.35,0.53,0.04,0.11,0.56,119.96
878,2018,0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),[pop],0.35,0.30,0.03,0.93,0.10,0.12,115.28
879,2018,4S8d14HvHb70ImctNgVzQQ,Kanye West,I Love It (& Lil Pump),[hip hop],0.90,0.52,0.33,0.01,0.26,0.33,104.05
880,2018,5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,[pop],0.36,0.56,0.06,0.70,0.09,0.49,85.04
881,2018,4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1  2  3 (feat. Jason Derulo & De La Ghetto),[latin],0.79,0.90,0.06,0.17,0.05,0.79,94.97
882,2018,5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,[pop],0.75,0.49,0.07,0.30,0.09,0.53,136.04
883,2018,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,[pop],0.80,0.54,0.04,0.20,0.17,0.39,136.95
884,2018,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,Feel It Still,[indie pop],0.80,0.80,0.05,0.04,0.07,0.75,79.03
885,2018,33bnxcjePIkcmNjEFTJX0l,Piso 21,Déjala que vuelva (feat. Manuel Turizo),[latin],0.68,0.79,0.08,0.05,0.08,0.84,170.02
886,2018,1jr1BnpXymcf2i97mTR8tJ,Migos,Walk It Talk It,[hip hop],0.91,0.63,0.21,0.07,0.11,0.39,145.97
887,2018,7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,Praise The Lord (Da Shine),[hip hop],0.85,0.57,0.14,0.06,0.10,0.29,80.02
888,2018,5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,No Brainer,[hip hop],0.55,0.76,0.34,0.07,0.09,0.64,135.70
889,2018,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,[Dance/Electronic],0.75,0.52,0.03,0.41,0.11,0.66,95.01
890,2018,3QybPutx0Tjk472bBKjNWn,Sheck Wes,Mo Bamba,[hip hop],0.74,0.63,0.05,0.27,0.16,0.32,146.07
891,2018,2djdCbLj1pzRmrDNe7PkW2,Panic! At The Disco,High Hopes,[rock],0.58,0.90,0.06,0.19,0.06,0.68,82.01
892,2018,42CeaId2XNlxugDvyqHfDf,Post Malone,Candy Paint,[hip hop],0.77,0.69,0.08,0.63,0.07,0.43,90.01
893,2018,0gD6lWJhbXHWNVwQziSVvl,Rich The Kid,Plug Walk,[hip hop],0.88,0.50,0.18,0.22,0.11,0.18,95.01
894,2018,5qFeMRz4TvetPmzjre9Dq7,J Balvin,No Es Justo,[latin],0.68,0.81,0.07,0.16,0.09,0.72,87.87
895,2018,1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),[pop],0.59,0.30,0.03,0.78,0.12,0.36,94.99
896,2018,4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Natural,[rock],0.45,0.61,0.07,0.22,0.08,0.21,97.77
897,2018,7l3E7lcozEodtVsSTCkcaA,Kodak Black,ZEZE (feat. Travis Scott & Offset),[hip hop],0.86,0.64,0.24,0.05,0.10,0.47,98.04
898,2018,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,[Dance/Electronic],0.62,0.64,0.03,0.05,0.16,0.45,103.02
899,2018,4T3fNx3CgwDRRYgmFCbD4J,Khalid,Better,[pop],0.44,0.59,0.10,0.10,0.14,0.12,97.57
900,2018,1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,[hip hop],0.75,0.50,0.05,0.55,0.07,0.93,89.95
901,2018,5lK18Pt33xNudq4qYDxIm8,Lady Gaga,Shallow,[pop],0.57,0.40,0.03,0.38,0.26,0.30,95.80
902,2018,5Y9fnynLlIvqtM710MHzfz,Ozuna,Síguelo Bailando,[latin],0.86,0.66,0.06,0.17,0.09,0.63,98.02
903,2018,6Za3190Sbw39BBC77WSS1C,Natti Natasha,Criminal,[latin],0.81,0.81,0.06,0.03,0.26,0.84,80.00
904,2018,3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean (feat. Khalid),[Dance/Electronic],0.51,0.69,0.04,0.58,0.09,0.22,139.91
905,2018,4ofvoCdXq99vpMZO4Cfp8x,The Weeknd,Pray For Me (with Kendrick Lamar),[R&B],0.73,0.67,0.13,0.08,0.10,0.16,100.54
906,2018,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,[hip hop],0.84,0.73,0.05,0.08,0.15,0.43,130.05
907,2018,3B54sVLJ402zGa6Xm4YGNe,French Montana,Unforgettable,[hip hop],0.73,0.77,0.12,0.03,0.10,0.73,97.99
908,2018,0Dn40gxVCMo5TkgS8Ik18Q,Lil Peep,Falling Down - Bonus Track,[hip hop],0.67,0.57,0.03,0.02,0.15,0.27,120.01
909,2018,4OafepJy2teCjYJbvFE60J,Ariana Grande,breathin,[pop],0.57,0.66,0.04,0.02,0.21,0.36,100.05
910,2018,4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun,[indie pop],0.67,0.74,0.05,0.29,0.24,0.75,115.74
911,2018,5k38wzpLb15YgncyWdTZE4,G-Eazy,Him & I (with Halsey),[hip hop],0.59,0.73,0.09,0.05,0.31,0.19,87.91
912,2018,6xTU6B6nFwKKTSZ9ySXS80,Kygo,Remind Me to Forget,[Dance/Electronic],0.69,0.51,0.09,0.16,0.14,0.31,99.02
913,2018,60SdxE8apGAxMiRrpbmLY0,Eminem,Lucky You (feat. Joyner Lucas),[hip hop],0.88,0.79,0.31,0.06,0.13,0.58,153.07
914,2018,4fndbjoz1qJyK6JcLdKfzm,Migos,Stir Fry,[hip hop],0.81,0.81,0.29,0.01,0.13,0.55,181.99
915,2018,5AEtlRudpgdT5FtNiuly6Y,Hailee Steinfeld,Let Me Go (with Alesso  Florida Georgia Line & watt),[pop],0.66,0.72,0.06,0.04,0.08,0.71,103.04
916,2018,0VKkyBKCXyR99navhVRqcP,Zion & Lennox,La Player (Bandolera),[latin],0.77,0.84,0.06,0.16,0.09,0.60,94.00
917,2018,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,[hip hop],0.73,0.57,0.13,0.85,0.11,0.69,129.95
918,2018,4R55IUi2x7S5ek2SpebOiE,Wolfine,Bella,[latin],0.91,0.49,0.07,0.13,0.13,0.84,94.02
919,2018,0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,[Dance/Electronic],0.69,0.69,0.04,0.30,0.10,0.45,114.01
920,2018,7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando),[Dance/Electronic],0.75,0.76,0.04,0.05,0.05,0.58,121.96
921,2018,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,Downtown,[pop],0.78,0.68,0.14,0.18,0.07,0.62,166.01
922,2018,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,[hip hop],0.85,0.46,0.14,0.12,0.35,0.55,120.02
923,2018,1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking Out Loud,[pop],0.78,0.45,0.03,0.47,0.18,0.59,79.00
924,2018,4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello),[pop],0.64,0.72,0.03,0.35,0.11,0.25,100.03
925,2018,6Hgh47WXVKtXN5zGOu0hjI,Khalid,OTW,[pop],0.65,0.68,0.05,0.18,0.11,0.28,72.99
926,2018,1dNyRyz1QBN9kO1etUs1PI,Juice WRLD,All Girls Are The Same,[hip hop],0.67,0.45,0.30,0.17,0.07,0.22,161.93
927,2018,4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,[pop],0.60,0.72,0.05,0.09,0.12,0.51,102.06
928,2018,4lESS6vuruP6a79KWRaQou,Maluma,Corazón,[latin],0.87,0.77,0.12,0.28,0.16,0.77,98.99
929,2018,7ATATJztoWLcqDAcVVof0C,6ix9ine,BEBE,[hip hop],0.64,0.90,0.11,0.17,0.13,0.29,102.06
930,2018,6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,Like I Do,[Dance/Electronic],0.64,0.90,0.04,0.01,0.37,0.15,127.98
